canonical_entity,market_group,region,sub_region,channel_level,salesperson_alias,salesperson_raw,customer_code,customer_name,has_customer,needs_code_fill,dim_matches,matched_customer_code,matched_customer_name,matched_market_group,matched_region,matched_sub_region,fill_method,fill_status,customer_code_filled
GmbH,Core Markets,France,France North,,France,E. Grigoreva,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,North East,,Aracelli,A. Gutierrez,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,North East,,Aracelli,A. Gutierrez Neukd,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,,,Claire,Claire Morgan,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,DE Other,,DE Other,Innendienst,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,DE Other,,DE Other,Ana Moll,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,DE Other,,DE Other,-Kein Vertriebsmitarbeiter-,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,,,Export,Jerome Dubarry,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,Bayern,,Iannis,Bayern,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,Bayern,,Iannis,N. Bolz,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,Bayern,,Iannis,I. Papoulias,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,,,Interco,Asia Cilek,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,,,Interco,Clare Morgan,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,,,Interco,descomed,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,,,Interco,G. Monopoli,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,,Interco,Interco,Innendienst CH,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,,,Interco,Solveig Loresco,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,,,Interco,Solveig Loresco Neukd,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,North,,Kerstin,K. Brunbauer,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,North,,Kerstin,K. Brunbauer Neukd,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,NRW - Marina,,Marina,M. Pfauch,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,NRW - Marina,,Marina,M. Pfauch Neukd,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,,,Melanie,M. Meiritz Neukd,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,,,Nora,J. Schottka,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,,,Nora,J. Schottka Neukd,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,Retail,,Retail,KaDeWe Endverbr.,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,Retail,,Retail,Rainer Anskinewitsch,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,Retail,,Retail,Steve Byrom-Chadd,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,South West,,Sibylle,S. Wöhrle,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,South West,,Sibylle,S. Wöhrle Neukd,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,NRW - Ulrike,,Ulrike,U. Bensmann,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Germany,NRW - Ulrike,,Ulrike,U. Bensmann Neukd,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Interco,,Interco,Export,Export,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Interco,,Interco,Interco,Ch. Rose,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Interco,,Interco,Interco,Ch. Rose Neukd,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Interco,,Interco,Interco,G. Monopoli Neukd,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Interco,,Interco,Interco,Interco,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Interco,,Interco,Interco,Rowan,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Interco,,Interco,Interco,Solveig Chollet,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Interco,,Interco,Interco,Solveig Chollet Neukd,,,0,True,,,,,,,dim_customer_exact_name,no_match,
GmbH,Core Markets,Interco,,Interco,Interco,Y. Januario,,,0,True,,,,,,,dim_customer_exact_name,no_match,
