Entity,Market_Group,Region,Sub Region,Channel_Level,Company_Group,Sales_Employee,Customer_Code,Customer_Name,Sales_Employee_Cleaned,canonical_entity,canonical_customer_code,canonical_salesperson_name,customer_name_mapping,has_sp,has_name,dedup_rule
Inc.,USA,Southeast,,Spa,Company 1,,25010.0,"Four Seasons Hotel, Fort Lauderdale; FL",Bethany,US,25010,BETHANY,"Four Seasons Hotel, Fort Lauderdale; FL",1,1,prefer_salesperson_then_name
Inc.,USA,West,,Spa,Company 1,,25011.0,D&G Global Inc.; Claire Gobler; CA,Erin,US,25011,ERIN,D&G Global Inc.; Claire Gobler; CA,1,1,prefer_salesperson_then_name
Inc.,USA,West,,Spa,Company 1,,25012.0,"Rosewood Sense Spa, CA",Erin,US,25012,ERIN,"Rosewood Sense Spa, CA",1,1,prefer_salesperson_then_name
Inc.,USA,Northeast,,Spa,Company 1,,25013.0,Gurney ´s Inn Resort & Spa LLC; NY,Marcus,US,25013,MARCUS,Gurney ´s Inn Resort & Spa LLC; NY,1,1,prefer_salesperson_then_name
Inc.,USA,West,,Spa,Company 1,,25015.0,Gateway Canyon Resort & Spa; CO,Erin,US,25015,ERIN,Gateway Canyon Resort & Spa; CO,1,1,prefer_salesperson_then_name
Inc.,USA,Southeast,,Spa,Company 1,,25016.0,"Williams Island POA, Inc.Florida",Bethany,US,25016,BETHANY,"Williams Island POA, Inc.Florida",1,1,prefer_salesperson_then_name
Inc.,USA,Southeast,,Spa,Company 1,,25018.0,Iridescent LLC; Big-Bang; Miiami; Paula,Bethany,US,25018,BETHANY,Iridescent LLC; Big-Bang; Miiami; Paula,1,1,prefer_salesperson_then_name
Inc.,USA,Southeast,,Spa,Company 1,,25019.0,Banyan Cay Res.; W Palm Beach; Melissa,Bethany,US,25019,BETHANY,Banyan Cay Res.; W Palm Beach; Melissa,1,1,prefer_salesperson_then_name
Inc.,USA,Southeast,,Spa,Company 1,,25020.0,Faena Hotel Miami Beach; FL,Bethany,US,25020,BETHANY,Faena Hotel Miami Beach; FL,1,1,prefer_salesperson_then_name
Inc.,USA,West,,Spa,Company 1,,25021.0,TALISKER CLUB; Holly Arndt,Erin,US,25021,ERIN,TALISKER CLUB; Holly Arndt,1,1,prefer_salesperson_then_name
Inc.,USA,West,,Spa,Company 1,,25022.0,Beating Hearts; Dallas; Lori Feste,Erin,US,25022,ERIN,Beating Hearts; Dallas; Lori Feste,1,1,prefer_salesperson_then_name
Inc.,USA,West,,Spa,Company 1,,25023.0,HLP Hotels LLC DBA Lost Pines; Texas,Erin,US,25023,ERIN,HLP Hotels LLC DBA Lost Pines; Texas,1,1,prefer_salesperson_then_name
Inc.,USA,Southeast,,Spa,Company 1,,25024.0,"Mt. Bailey Holdings, LLC; Four Seasons Hotel Atlanta",Bethany,US,25024,BETHANY,"Mt. Bailey Holdings, LLC; Four Seasons Hotel Atlanta",1,1,prefer_salesperson_then_name
Inc.,USA,Southeast,,Spa,Company 1,,25025.0,"ARCH Amenity Group, Florida",Bethany,US,25025,BETHANY,"ARCH Amenity Group, Florida",1,1,prefer_salesperson_then_name
Inc.,USA,Southeast,,Spa,Company 1,,25026.0,JW Marriott Miami Turnberry,Bethany,US,25026,BETHANY,JW Marriott Miami Turnberry,1,1,prefer_salesperson_then_name
Inc.,USA,West,,Spa,Company 1,,25027.0,San Manuel Entert.; Yaamava Resort; Highland,Erin,US,25027,ERIN,San Manuel Entert.; Yaamava Resort; Highland,1,1,prefer_salesperson_then_name
Inc.,USA,Northeast,,Spa,Company 1,,25028.0,Jenny Y Yu; MD FACS PLLC,Marcus,US,25028,MARCUS,Jenny Y Yu; MD FACS PLLC,1,1,prefer_salesperson_then_name
Inc.,USA,Southeast,,Spa,Company 1,,25029.0,Ana Molinari Inc.; FL,Bethany,US,25029,BETHANY,Ana Molinari Inc.; FL,1,1,prefer_salesperson_then_name
Inc.,USA,Retail,,Retail,Company 1,,25030.0,Saks.com LLC; NY (Web orders),,US,25030,,Saks.com LLC; NY (Web orders),0,1,prefer_salesperson_then_name
Inc.,USA,West,,Spa,Company 1,,25032.0,Four Seasons Hotel Las Vegas,Erin,US,25032,ERIN,Four Seasons Hotel Las Vegas,1,1,prefer_salesperson_then_name
