market_group,region,customer_code,budget_native,budget_eur_compare,actual_native,actual_eur_compare,actual_rows,has_budget,has_actual,match_status,actual_cutoff_date
Core Markets,France,23078,0.0,0.0,1479.1399999999999,1479.1399999999999,17,0,1,actual_only,2026-03-25
Core Markets,France,23080,0.0,0.0,1144.65,1144.65,26,0,1,actual_only,2026-03-25
Core Markets,France,23084,0.0,0.0,1146.59,1146.5900000000001,10,0,1,actual_only,2026-03-25
Core Markets,France,23087,0.0,0.0,1482.18,1482.1800000000003,24,0,1,actual_only,2026-03-25
Core Markets,France,23088,0.0,0.0,3823.96,3823.96,52,0,1,actual_only,2026-03-25
Core Markets,France,23107,0.0,0.0,2222.07,2222.0699999999997,27,0,1,actual_only,2026-03-25
Core Markets,France,23111,0.0,0.0,3607.69,3607.69,65,0,1,actual_only,2026-03-25
Core Markets,France,23115,0.0,0.0,344.82,344.82,8,0,1,actual_only,2026-03-25
Core Markets,France,27000,2000.0,2000.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,France,27001,0.0,0.0,0.0,,0,0,0,actual_only,2026-03-25
Core Markets,France,27002,1000.0,1000.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,France,27015,800.0,800.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,France,27044,1000.0,1000.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,France,27045,1500.0,1500.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,France,27046,200.0,200.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,France,27047,1000.0,1000.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,France,30670,0.0,0.0,0.0,0.0,16,0,0,actual_only,2026-03-25
Core Markets,Germany,-25,0.0,0.0,0.0,,0,0,0,actual_only,2026-03-25
Core Markets,Germany,-26,24000.0,24000.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20001,80.0,80.0,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20004,350.0,350.0,551.9,551.9,8,1,1,both,2026-03-25
Core Markets,Germany,20005,1869.7024800000004,1869.7024800000004,634.38,634.38,14,1,1,both,2026-03-25
Core Markets,Germany,20007,400.0,400.0,448.46000000000004,448.46,10,1,1,both,2026-03-25
Core Markets,Germany,20009,2968.9794,2968.9794,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20018,4789.4174,4789.4174,3676.32,3676.320000000001,68,1,1,both,2026-03-25
Core Markets,Germany,20022,2024.1749400000008,2024.1749400000008,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20024,2886.45336,2886.45336,0.0,,0,1,0,budget_only,2026-03-25
Core Markets,Germany,20035,775.17694,775.17694,0.0,,0,1,0,budget_only,2026-03-25
