canonical_entity,market_group,region,sub_region,channel_level,salesperson_alias,salesperson_raw,customer_code,customer_name,has_customer
US,USA,West,,Spa,Erin,,25036,MacArthur Place; LÁuberge de Sonoma LLC; CA,1
US,USA,West,,Spa,Erin,,25038,"Lemon & Honey Day Spa; Orange, CA",1
US,USA,West,,Spa,Erin,,25046,"Beverly Wilshire,Four Seasons Hotel, CA",1
US,USA,West,,Spa,Erin,,25052,Rosewood Miramar Beach; CA,1
US,USA,West,,Spa,Erin,,25053,"Bonnie Frances Skin;Phoenix, AZ",1
US,USA,West,,Spa,Erin,,25058,"Five Point Five, Inc.",1
US,USA,West,,Spa,Erin,,25059,Red Rock Tivoli Aestetics,1
US,USA,West,,Spa,Erin,,25064,Embracing the Dance of Healing,1
US,USA,West,,Spa,Erin,,25065,"Cupid Lift Inc., West Hollywood",1
US,USA,West,,Spa,Erin,,25066,ARIA Resort & Casino; Las Vegas,1
US,USA,West,,Spa,Erin,,25067,"The Ritz-Carlton, Half Moon Bay LLC",1
US,USA,West,,Spa,Erin,,25072,Balboa Bay Club Ventures LLC,1
